"Object designation","Removal date in UTC","VI date in UTC","Last IP","Last PS"
"2025DE1","2025-02-26 13:31","2067-02-20 15:23","1.53E-05","-4.70"
"2023OS3","2025-02-25 23:12","2118-08-07 18:22","4.83E-06","-7.10"
"2025DU3","2025-02-25 15:17","2113-05-30 05:00","9.07E-11","-8.80"
"2025DD1","2025-02-23 15:03","2116-02-06 04:58","1.45E-10","-7.63"
"2025DO1","2025-02-22 15:14","2116-02-07 11:30","2.01E-06","-7.14"
"2025DG1","2025-02-22 14:36","2058-02-19 20:06","4.19E-06","-6.49"
"2020DM3","2025-02-18 13:28","2109-07-03 04:52","4.22E-10","-10.03"
"2025DA","2025-02-18 13:26","2123-01-30 08:50","7.28E-09","-6.64"
"2024MH1","2025-02-16 12:56","2104-07-23 15:49","2.72E-06","-6.10"
"2024UE4","2025-02-12 13:29","2079-11-13 21:35","4.80E-07","-6.48"
"2024TX13","2025-02-10 13:54","2101-11-04 07:06","5.37E-07","-6.30"
"2025BC10","2025-02-09 13:38","2045-10-11 13:23","3.74E-11","-6.87"
"2022OB5","2025-02-08 15:36","2086-01-08 03:12","2.91E-05","-6.67"
"2025CL2","2025-02-08 13:47","2079-08-25 11:30","2.14E-10","-7.36"
"2024PQ4","2025-02-06 13:47","2097-08-26 21:36","1.45E-05","-4.04"
"2025BB2","2025-02-05 14:11","2117-02-05 20:47","1.22E-08","-8.55"
"2025BY4","2025-02-05 13:50","2115-02-28 14:41","1.36E-07","-6.41"
"2025CH","2025-02-03 14:01","2107-02-01 07:02","4.09E-11","-11.79"
"2016CH30","2025-02-01 17:57","2103-02-16 03:26","1.17E-05","-6.74"
"2025BQ5","2025-01-31 13:29","2061-01-27 04:59","2.62E-11","-10.39"
"2025BT4","2025-01-31 13:21","2107-12-20 17:28","9.97E-08","-9.07"
"2025BN","2025-01-29 13:25","2105-01-20 01:47","1.09E-07","-7.76"
"2025BQ2","2025-01-24 13:40","2074-02-22 01:50","1.93E-06","-5.18"
"2024UK","2025-01-23 13:26","2056-10-17 18:20","3.47E-05","-4.05"
"2025BK","2025-01-20 14:07","2111-01-24 13:40","2.13E-07","-6.48"
"2024YT7","2025-01-20 14:05","2071-11-24 18:01","1.81E-08","-6.47"
"2024YA36","2025-01-20 14:01","2077-01-10 14:22","2.63E-09","-6.09"
"2024YQ8","2025-01-17 12:58","2072-03-02 00:27","8.80E-09","-6.66"
"2025AB","2025-01-07 13:51","2118-01-04 05:27","2.51E-09","-9.83"
"2023MZ5","2025-01-04 17:47","2098-12-30 05:08","2.66E-06","-6.26"
"2025AF","2025-01-03 14:03","2100-02-07 16:58","1.22E-08","-8.13"
"2024YM12","2025-01-03 14:03","2068-12-27 20:53","6.17E-08","-7.29"
"2024YW9","2025-01-02 13:54","2120-03-05 20:48","8.70E-09","-8.97"
"2024YO2","2024-12-29 13:42","2122-12-22 05:38","4.93E-11","-10.75"
"2024YN2","2024-12-29 13:37","2045-04-26 03:28","6.23E-09","-6.20"
"2024YW3","2024-12-28 13:50","2110-01-04 09:50","1.46E-11","-10.90"
"2024YS2","2024-12-26 13:30","2120-01-03 08:40","6.42E-03","-4.11"
"2024YW3","2024-12-26 13:26","2110-01-04 09:41","1.05E-11","-11.08"
"2024YH1","2024-12-25 13:36","2034-04-08 20:58","5.05E-11","-5.18"
"2014HZ478","2024-12-24 16:12","2060-09-27 04:27","1.28E-10","-6.35"
"2024YC","2024-12-24 13:37","2108-06-18 22:07","1.82E-08","-9.19"
"2024XM9","2024-12-23 13:22","2095-11-15 19:28","4.08E-08","-8.88"
"2024YC","2024-12-22 13:44","2112-06-19 08:36","6.66E-08","-8.65"
"2024WD4","2024-12-22 13:25","2107-06-28 23:53","1.15E-07","-5.70"
"2024XG16","2024-12-20 13:06","2060-07-19 15:49","4.66E-08","-5.53"
"2024XK15","2024-12-16 12:35","2031-06-19 03:33","6.16E-09","-4.29"
"2007XB23","2024-12-12 14:53","2100-12-10 20:05","1.93E-08","-9.10"
"2024XH3","2024-12-12 12:58","2096-02-10 09:54","3.24E-08","-8.97"
"2024XC5","2024-12-11 12:47","2095-11-29 17:53","2.01E-11","-10.80"
"2024XS2","2024-12-05 13:55","2119-12-08 15:05","2.16E-09","-11.08"
"2024WR13","2024-12-05 13:40","2054-12-16 05:36","5.50E-11","-8.66"
"2024XV3","2024-12-05 13:39","2119-11-30 16:20","1.58E-06","-7.80"
"2024WH18","2024-12-04 13:42","2048-07-20 09:18","2.76E-10","-7.77"
"2012PB20","2024-12-02 15:16","2099-02-10 10:05","1.70E-07","-7.12"
"2024WM3","2024-12-02 13:56","2107-11-24 16:06","1.64E-08","-8.94"
"2024WA","2024-12-01 13:12","2073-11-15 04:51","8.29E-08","-7.96"
"2024WY13","2024-12-01 13:09","2089-12-01 22:52","3.08E-11","-9.46"
"2024WG4","2024-11-29 13:52","2093-05-31 05:15","5.90E-09","-5.63"
"2024WA","2024-11-26 14:40","2074-11-15 10:16","3.07E-07","-7.39"
"2024WP1","2024-11-26 14:35","2122-11-25 18:31","3.63E-05","-5.95"
"2024WH3","2024-11-26 14:30","2110-02-22 19:56","2.45E-09","-7.36"
"2024WO","2024-11-22 13:24","2043-11-21 12:47","3.50E-11","-11.14"
"2024US11","2024-11-22 13:06","2121-10-13 05:18","1.29E-07","-5.76"
"2024VJ3","2024-11-20 13:33","2101-04-23 21:39","3.73E-09","-9.51"
"2024VH4","2024-11-20 13:21","2098-07-17 20:55","1.70E-09","-7.20"
"2024VE3","2024-11-20 12:45","2069-09-18 07:14","9.07E-08","-4.50"
"2024UN","2024-11-17 12:57","2118-04-19 07:14","4.10E-09","-9.27"
"2024US11","2024-11-13 13:15","2121-10-13 05:21","5.28E-08","-6.17"
"2024UO","2024-11-11 08:58","2086-09-18 18:35","1.44E-10","-10.27"
"2024OC2","2024-11-11 08:48","2120-01-22 06:22","5.07E-10","-7.42"
"2020UL3","2024-11-08 13:41","2122-11-15 03:24","3.20E-05","-3.91"
"2024US7","2024-11-08 13:28","2063-06-24 10:34","7.09E-09","-5.97"
"2024UN5","2024-11-07 13:05","2090-09-13 16:19","8.33E-11","-9.93"
"2024UF9","2024-11-06 13:53","2083-10-30 23:44","2.59E-09","-8.94"
"2024UB7","2024-11-06 13:30","2121-11-01 20:17","2.00E-08","-6.61"
"2024TA","2024-11-05 14:25","2075-09-30 00:48","5.72E-09","-9.89"
"2024UH11","2024-11-05 14:18","2071-11-20 07:43","6.87E-11","-8.71"
"2024TW17","2024-11-05 14:11","2121-11-16 16:49","1.68E-09","-7.15"
"2024US11","2024-11-05 13:26","2050-10-13 10:37","9.35E-08","-5.36"
"2022YE","2024-11-03 17:08","2067-12-19 08:53","2.49E-08","-7.29"
"2024UN5","2024-11-01 14:03","2090-09-13 16:09","1.41E-06","-5.74"
"2024UA10","2024-11-01 13:39","2069-11-12 06:06","1.18E-06","-5.64"
"2023VC7","2024-10-31 21:49","2122-11-24 23:22","7.88E-08","-7.83"
"2024UZ6","2024-10-30 15:14","2102-10-26 04:11","1.60E-09","-12.02"
"2024UX3","2024-10-28 13:13","2079-12-20 02:54","8.75E-07","-6.01"
"2024TW17","2024-10-26 13:23","2112-11-16 11:41","2.80E-07","-4.81"
"2024UC1","2024-10-25 14:25","2099-07-10 15:25","3.04E-09","-8.33"
"2024PF2","2024-10-23 13:30","2113-07-16 10:40","2.13E-06","-6.30"
"2020UL3","2024-10-22 13:37","2122-11-15 03:27","1.93E-05","-4.13"
"2024UD","2024-10-21 14:40","2097-10-12 16:45","2.02E-11","-10.41"
"2024TM2","2024-10-15 12:59","2118-01-05 13:27","2.37E-08","-9.52"
"2024TN1","2024-10-14 12:55","2097-10-29 02:16","6.67E-11","-7.06"
"2024TV8","2024-10-13 12:53","2116-10-10 03:08","3.05E-09","-9.33"
"2024TA7","2024-10-11 14:29","2062-10-13 10:35","2.45E-06","-6.60"
"2024TD6","2024-10-11 08:41","2109-07-18 15:12","4.08E-07","-8.93"
"2024TU1","2024-10-08 14:44","2089-10-19 11:11","4.59E-11","-10.99"
"2024SE3","2024-10-08 14:32","2076-09-25 00:03","5.99E-10","-9.84"
"2024TP3","2024-10-07 13:33","2102-12-13 05:00","6.26E-08","-7.15"
"2024TB2","2024-10-06 14:04","2050-10-01 08:49","1.12E-06","-5.88"
"2024RH2","2024-10-03 15:24","2100-10-15 18:00","3.45E-07","-6.78"
"2024SG8","2024-10-03 14:08","2082-09-30 01:25","5.00E-11","-8.85"
"2024SS4","2024-10-02 13:30","2062-10-03 05:08","1.62E-09","-9.75"
"2024RZ3","2024-10-01 13:47","2094-07-29 04:06","1.20E-07","-8.09"
"2024QP2","2024-10-01 13:34","2046-10-19 11:15","8.57E-06","-2.94"
"2024RF13","2024-10-01 13:31","2121-11-03 04:41","2.93E-06","-4.21"
"2024SW","2024-09-29 14:36","2102-09-21 10:45","3.12E-10","-11.01"
"2020GE","2024-09-28 15:35","2121-02-10 03:10","2.77E-07","-8.53"
"2024RZ3","2024-09-24 12:56","2102-08-20 01:00","7.09E-08","-8.30"
"2023CX2","2024-09-24 12:55","2115-06-11 14:29","5.25E-11","-11.87"
"2024RV4","2024-09-24 12:54","2111-03-20 16:12","2.13E-08","-5.53"
"2024RN43","2024-09-20 12:39","2101-08-31 16:43","5.58E-06","-5.54"
"2024RH2","2024-09-16 15:00","2100-08-14 16:32","4.63E-08","-7.67"
"2024RQ5","2024-09-16 14:22","2097-12-30 10:35","8.92E-09","-9.76"
"2024RR14","2024-09-15 13:25","2070-01-14 21:31","1.45E-07","-5.27"
"2024RL3","2024-09-15 13:08","2048-09-04 11:08","3.65E-10","-11.13"
"2024RK16","2024-09-15 12:50","2120-09-10 12:14","1.81E-08","-5.51"
"2024RZ3","2024-09-14 15:00","2097-07-30 04:48","5.06E-10","-10.37"
"2024RB10","2024-09-14 14:47","2070-09-23 09:42","2.37E-09","-7.47"
"2024RH13","2024-09-13 14:40","2035-09-12 06:00","3.97E-11","-10.25"
"2024RN7","2024-09-13 14:27","2100-09-24 03:13","1.04E-10","-8.27"
"2024RZ5","2024-09-12 13:46","2122-02-02 14:46","1.25E-11","-8.47"
"2024QG3","2024-09-09 13:38","2117-12-23 03:16","3.37E-08","-6.91"
"2024RL3","2024-09-08 13:10","2035-09-05 09:03","3.23E-07","-7.83"
"2023RF1","2024-08-28 14:18","2121-03-06 15:22","1.30E-09","-9.65"
"2024MV","2024-08-28 13:56","2069-06-24 13:58","1.76E-04","-4.66"
"2017TU1","2024-08-22 16:18","2104-08-05 07:12","5.69E-10","-10.03"
"2024PN3","2024-08-15 12:50","2091-12-01 01:54","5.63E-10","-6.78"
"2022YL","2024-08-10 14:49","2115-06-21 09:56","2.26E-07","-7.76"
"2024ON","2024-08-04 12:55","2087-09-15 11:49","2.12E-11","-8.54"
"2024OT1","2024-08-03 12:59","2120-08-02 07:17","2.54E-10","-10.46"
"2024OT1","2024-08-01 13:02","2120-08-02 07:05","1.09E-10","-10.82"
"2023HB7","2024-07-20 14:47","2100-03-27 17:34","4.14E-09","-8.84"
"2024NN1","2024-07-12 12:51","2091-10-07 04:28","1.77E-11","-9.60"
"2024NA1","2024-07-11 13:02","2093-07-05 05:43","2.35E-07","-3.63"
"2024NF","2024-07-11 12:52","2106-07-27 02:45","1.73E-09","-7.96"
"2024NP1","2024-07-10 12:54","2110-03-01 14:24","3.89E-10","-8.11"
"2024MV1","2024-07-10 12:40","2114-08-15 18:19","3.10E-10","-7.65"
"2024NF","2024-07-09 13:37","2092-07-22 18:27","9.32E-10","-8.16"
"2024MB1","2024-07-02 13:55","2115-06-12 15:08","9.99E-07","-7.56"
"2023JW34","2024-07-02 07:29","2055-05-06 05:57","2.17E-04","-6.98"
"2002MN","2024-07-02 03:13","2122-06-17 09:58","4.66E-06","-4.86"
"2024MS","2024-06-28 13:22","2110-06-17 08:57","6.61E-05","-6.43"
"2023OE5","2024-06-25 12:56","2121-08-05 01:11","1.47E-07","-7.94"
"2024MK","2024-06-24 12:45","2116-06-29 20:14","1.07E-09","-7.72"
"2024MK","2024-06-22 12:49","2116-06-29 20:09","8.32E-06","-3.79"
"2024LZ4","2024-06-21 13:07","2052-06-16 04:54","1.24E-07","-6.81"
"2024LZ4","2024-06-16 13:31","2052-06-16 04:54","2.83E-08","-7.42"
"2024LG4","2024-06-16 07:12","2063-05-27 01:07","4.86E-11","-7.21"
"2024LZ2","2024-06-12 13:01","2063-06-13 03:37","4.04E-09","-8.39"
"2024KH3","2024-06-09 12:49","2081-08-09 19:35","5.49E-09","-6.65"
"2024LA","2024-06-08 13:03","2078-06-04 21:01","1.10E-10","-10.08"
"2023YO1","2024-06-07 13:01","2115-01-08 00:42","2.70E-05","-5.44"
"2024KG","2024-06-03 13:16","2122-05-16 09:59","1.43E-11","-9.67"
"2018VC","2024-05-31 14:45","2112-10-28 22:29","4.67E-06","-6.42"
"2015AW161","2024-05-30 13:53","2053-08-13 01:32","1.34E-08","-3.47"
"2023OE5","2024-05-30 13:21","2120-08-05 03:10","2.20E-07","-7.76"
"2024KG","2024-05-30 08:20","2119-05-16 05:37","2.57E-10","-8.42"
"2024KB","2024-05-26 12:49","2104-11-17 04:55","3.49E-08","-6.13"
"2024HU","2024-05-22 13:04","2082-04-13 13:20","1.43E-08","-6.97"
"2024JX12","2024-05-17 12:39","2056-06-25 18:40","4.40E-08","-5.90"
"2024GY3","2024-05-13 13:24","2106-04-03 11:32","1.01E-07","-6.10"
"2024GF2","2024-05-11 12:54","2087-03-01 13:06","1.73E-07","-5.08"
"2024JT3","2024-05-10 19:45","2053-05-09 09:04","6.06E-11","-12.00"
"2024JV6","2024-05-10 19:31","2105-05-28 13:12","6.99E-10","-10.88"
"2024JD7","2024-05-10 19:13","2108-05-02 18:00","6.89E-05","-3.96"
"2024HM2","2024-05-07 13:41","2117-12-11 14:13","2.82E-08","-6.93"
